,ele,lat,lon,distance
111,15.427,-12.4350223,130.8972837,8893.500543882106
112,10.0,-12.4356545,130.8981273,9008.96874479117
113,10.775,-12.436021,130.8985848,9073.2363398
114,11.55,-12.4363875,130.8990423,9137.503934813702
115,10.809,-12.4367796,130.8995914,9211.385077445697
116,16.005,-12.437248,130.9002791,9302.483235109972
117,17.842,-12.437584,130.9007735,9367.997476693325
118,23.372,-12.4380234,130.9015323,9463.796242792214
119,28.197,-12.4383023,130.9020551,9528.490514910116
120,28.264,-12.4385809,130.9027293,9607.991602073684
121,29.484,-12.4388172,130.9033803,9683.459845283083
122,30.611,-12.4390189,130.9040817,9762.882691804554
123,35.983,-12.4392025,130.9048424,9847.996809473978
124,35.582,-12.4394045,130.9060265,9978.53017980469
125,33.589,-12.4394738,130.9064405,10024.139845301695
126,34.406,-12.43958,130.9071029,10097.05837918596
127,33.0755,-12.4397176,130.907826,10177.0594285
128,31.745,-12.4398551,130.9085492,10257.060477869592
129,32.071,-12.4399695,130.909156,10324.166171272716
130,30.636,-12.440208,130.9099752,10417.05915321088
131,30.875,-12.4404206,130.9106229,10491.25827766471
132,27.259,-12.4408047,130.9115322,10598.850663326231
133,24.914,-12.4409841,130.9119227,10645.730025736746
134,17.914,-12.4413007,130.9125337,10720.850603572651
135,15.197,-12.4417859,130.9133039,10820.4042916213
136,14.157,-12.4421397,130.9137817,10885.515985986653
137,10.932,-12.4426506,130.9144362,10976.503246113734
138,13.0,-12.4431394,130.9150664,11063.904716727877
139,12.661,-12.4435158,130.9155522,11131.241643389085
140,9.623,-12.4440115,130.9161518,11216.5557786061
141,12.746,-12.4444558,130.916605,11286.34592533039
142,11.767,-12.4450361,130.9171213,11371.86143280484
143,15.058,-12.4455718,130.9176001,11450.92955569722
144,14.903,-12.446164,130.9181913,11542.903446889017
145,16.923,-12.4466131,130.9187226,11619.237446677593
146,19.201,-12.4470068,130.9192633,11692.53897326518
147,22.484,-12.4473479,130.9197894,11761.109649405684
148,31.168,-12.4477693,130.9205786,11858.817168491449
149,29.352,-12.4480025,130.921133,11924.401800658963
150,20.187,-12.4482556,130.9218479,12007.083317168232
151,17.29,-12.4484727,130.9226626,12098.822054536437
152,18.701,-12.4486318,130.9233124,12171.58604732663
153,16.87,-12.4488287,130.9239968,12249.090453105156
154,19.615,-12.4490597,130.9247005,12329.774943583774
155,17.226,-12.4493259,130.9254085,12412.159477578003
156,16.879,-12.4495812,130.9260427,12486.651689026032
157,18.955,-12.449843,130.9267527,12569.101825081154
158,18.87,-12.4501253,130.9276154,12667.924440454375
159,19.309,-12.4503109,130.9281249,12727.041137857675
160,18.894,-12.4505506,130.9288539,12810.569303342196
161,21.486,-12.4508049,130.9296142,12897.83766517037
162,22.879,-12.4510344,130.9303372,12980.38545406595
163,25.3,-12.4512429,130.9310087,13056.899499222694
164,26.753,-12.4514279,130.931587,13122.975460870795
165,31.152,-12.4516553,130.9322823,13202.598223222862
166,27.951,-12.4519512,130.9332339,13311.037357268991
167,27.67,-12.4521525,130.9338657,13383.197559248803
168,25.828,-12.4523745,130.9345454,13461.02251606436
169,17.361,-12.4525975,130.9352719,13543.7111005929
170,15.315,-12.4529055,130.9362469,13654.978200655729
171,14.025,-12.453061,130.9367394,13711.179251069289
172,14.654,-12.4532373,130.9372877,13773.857574418193
173,13.901,-12.4534547,130.9379267,13847.331494036182
174,14.88,-12.4536802,130.9385668,13921.217612143344
175,13.0,-12.4539663,130.9393279,14009.77043829402
176,14.693,-12.4543482,130.9402873,14122.278583505176
177,13.509,-12.4546246,130.9409692,14202.44458957776
178,14.42,-12.4547921,130.9413603,14248.814464522153
179,11.805,-12.4551012,130.9420735,14333.538398022638
180,14.109,-12.4554211,130.9427978,14419.853499373088
181,13.488,-12.4556463,130.9433137,14481.211216216754
182,11.427,-12.455952,130.9440246,14565.552637323455
183,11.806,-12.4564427,130.9451121,14695.656464445368
184,11.235,-12.4566021,130.945556,14747.00971560286
185,14.163,-12.4568109,130.9459949,14800.019259704815
186,13.198,-12.4571728,130.9468366,14899.9107865
187,12.233,-12.4575346,130.9476784,14999.802313331356
188,13.348,-12.4577243,130.9481091,15051.103607651592
189,17.807,-12.4580502,130.9488407,15138.414039995245
190,18.693,-12.4585345,130.9499146,15266.849902218386
191,17.895,-12.4588011,130.9504762,15334.650649102266
192,17.356,-12.4590677,130.9509963,15398.429379988987
193,18.0,-12.4595351,130.9517975,15499.85488245173
194,17.511,-12.4597902,130.9522155,15553.374974565888
195,14.257,-12.4603505,130.9530605,15664.276057432662
196,14.052,-12.4605277,130.9533172,15698.408917470362
197,14.55025,-12.4609321,130.9539493,15780.4633203
198,15.0485,-12.4613365,130.9545814,15862.5177231
199,15.54675,-12.4617408,130.9552136,15944.5721259
200,16.045,-12.4621452,130.9558457,16026.62652867684
201,17.055,-12.4623744,130.9562785,16080.084067634749
202,17.282,-12.4626994,130.9569396,16160.478863627004
203,19.256,-12.4631537,130.9580911,16295.32459117339
204,21.349,-12.4632526,130.9583901,16329.600479657634
205,23.847,-12.463451,130.9590937,16409.11615579599
206,30.109,-12.4637081,130.9600957,16521.612690075504
207,28.666,-12.4637833,130.9604761,16563.75234235029
208,29.184,-12.4639645,130.9614399,16670.322932564985
209,29.637,-12.4640659,130.9622812,16762.359710104975
210,30.0,-12.4641143,130.962997,16840.26326046601
211,34.184,-12.464116,130.9639697,16945.903535739802
212,36.7865,-12.4640882,130.9644335,16996.3553931
213,39.389,-12.4640603,130.9648973,17046.80725037031
214,38.0,-12.463927,130.9662483,17194.238071875996
215,37.784,-12.463878,130.966705,17244.122404781396
216,36.097,-12.4638212,130.9673748,17317.119234423848
217,33.573,-12.4637655,130.9682571,17413.125726513357
218,34.08,-12.4637593,130.9687777,17469.653743871655
219,32.405,-12.4637764,130.9693574,17532.623015201974
