,ele,lat,lon,distance,temp
13437,415.206,-20.5517892,134.2665925,1094339.4014949112,13679.0
13438,416.075,-20.552284,134.2654271,1094472.6315161265,13680.0
13439,417.481,-20.5529275,134.2638993,1094647.0545903577,13683.0
13440,412.628,-20.5534386,134.2626744,1094786.6772624475,13684.0
13441,411.005,-20.5536575,134.2621745,1094844.1355438987,13685.0
13443,412.762,-20.5539549,134.261598,1094912.6732317277,13686.0
13444,411.813,-20.5542787,134.2610593,1094979.3227653203,13687.0
13446,409.381,-20.5546212,134.2605688,1095043.0354634235,13688.0
13448,412.127,-20.5551077,134.2599557,1095126.7333369122,13689.0
13450,412.089,-20.5557057,134.2593309,1095219.773027903,13690.0
13452,408.682,-20.5562788,134.2588111,1095303.3838735297,13691.0
13454,408.205,-20.5568362,134.2583845,1095379.6365185997,13692.0
13456,407.017,-20.5573083,134.2580711,1095441.450377455,13693.0
13459,403.925,-20.5581415,134.2576068,1095545.973100587,13694.0
13461,406.347,-20.558694,134.2573626,1095612.4827547844,13695.0
13463,405.471,-20.5592877,134.2571487,1095682.1720840498,13696.0
13466,406.0,-20.5600271,134.2569479,1095767.0552280252,13697.0
13470,403.725,-20.5610551,134.2567714,1095882.8653305636,13698.0
13472,400.982,-20.5617401,134.2567127,1095959.2968778946,13699.0
13474,402.541,-20.5623927,134.2567222,1096031.881819826,13700.0
13476,402.775,-20.5630139,134.2567662,1096101.114897463,13701.0
13478,401.655,-20.5640394,134.2569129,1096216.1653363742,13702.0
13479,399.598,-20.5646707,134.2570076,1096287.0516677673,13703.0
13482,399.833,-20.5656017,134.2571404,1096391.4937297027,13704.0
13483,398.635,-20.5662788,134.2572441,1096467.5539109746,13705.0
13484,398.155,-20.5670315,134.2573594,1096552.1067235568,13706.0
13485,399.923,-20.5676575,134.2574506,1096622.3592983559,13707.0
13486,400.948,-20.5683189,134.2575449,1096696.5559740812,13708.0
13487,400.804,-20.5685702,134.2575638,1096724.5684478777,13709.0
13489,397.015,-20.5693523,134.2575711,1096811.541737827,13710.0
13492,396.841,-20.5702335,134.2574915,1096909.9630926682,13711.0
13494,395.191,-20.5708068,134.2574028,1096974.3785397355,13712.0
13498,397.828,-20.5717467,134.2571524,1097082.1465099854,13713.0
13499,399.976,-20.5721879,134.2569973,1097133.7945178149,13714.0
13504,398.796,-20.5728345,134.2567312,1097210.8507124952,13715.0
13506,397.369,-20.5734358,134.2564096,1097285.632822931,13716.0
13508,399.689,-20.5740806,134.2559979,1097369.1793006205,13717.0
13510,400.19,-20.5748494,134.2554172,1097473.9086984175,13718.0
