Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
14/08:53:46,0.31,1.86,119.12,0.011,35.13,0.0,268
14/08:53:47,0.2,1.35,120.04,0.022,35.13,0.0,269
14/08:53:48,0.14,1.09,120.39,0.011,35.13,0.0,270
14/08:53:48,0.07,0.9,120.55,0.011,35.13,0.0,271
14/08:53:50,0.15,1.19,119.77,0.033,35.13,0.0,272
14/08:53:50,0.21,1.42,119.33,0.033,35.13,0.0,273
14/08:53:51,0.27,1.68,118.85,0.022,35.13,0.0,274
14/08:53:51,0.33,1.95,118.42,0.011,35.13,0.0,275
14/08:53:52,0.39,2.2,118.06,0.022,35.13,0.0,276
14/08:53:52,0.46,2.38,117.91,0.022,35.13,0.0,277
14/08:53:53,0.5,2.53,117.86,0.011,35.13,0.0,278
14/08:53:54,0.41,2.13,118.05,0.011,35.13,0.0,279
14/08:53:54,0.35,1.83,118.17,0.011,35.13,0.0,280
14/08:53:56,0.23,1.17,118.47,0.0,35.13,0.0,281
14/08:53:57,0.18,0.87,118.62,0.011,35.13,0.0,282
14/08:53:57,0.17,0.87,118.62,0.011,35.13,0.0,283
14/08:53:57,0.19,0.98,118.56,0.011,35.13,0.0,284
14/08:53:58,,,,,,,285
14/08:53:59,0.26,1.28,118.43,0.011,35.13,0.0,286
14/08:53:59,0.39,2.01,118.1,0.0,35.13,0.0,287
14/08:54:00,0.46,2.32,117.96,0.011,35.13,0.0,288
14/08:54:00,0.5,2.57,117.84,0.011,35.13,0.0,289
14/08:54:01,0.5,2.59,117.84,0.165,35.13,0.0,290
14/08:54:01,0.5,2.59,117.85,0.198,35.13,0.0,291
14/08:54:02,0.5,2.59,117.85,0.143,35.13,0.0,292
14/08:54:02,0.5,2.59,117.84,0.011,35.14,0.0,293
14/08:54:03,0.5,2.6,117.85,0.011,35.14,0.0,294
14/08:54:03,0.5,2.54,117.85,0.022,35.14,0.0,295
14/08:54:04,0.5,2.46,117.84,0.011,35.14,0.0,296
14/08:54:04,0.5,2.37,117.83,0.088,35.14,0.0,297
14/08:54:05,0.5,2.3,117.82,0.143,35.14,0.0,298
14/08:54:06,0.5,2.22,117.81,0.143,35.14,0.0,299
14/08:54:06,0.5,2.13,117.81,0.011,35.14,0.0,300
14/08:54:07,0.49,2.0,117.8,0.011,35.14,0.0,301
14/08:54:07,0.5,1.89,117.79,0.088,35.14,0.0,302
14/08:54:08,0.49,1.84,117.79,0.099,35.14,0.0,303
14/08:54:08,0.49,1.82,117.8,0.044,35.14,0.0,304
14/08:54:09,0.49,1.78,117.79,0.011,35.14,0.0,305
14/08:54:09,0.49,1.72,117.79,0.121,35.14,0.0,306
14/08:54:10,0.49,1.67,117.79,0.121,35.14,0.0,307
14/08:54:11,0.49,1.61,117.78,0.022,35.14,0.0,308
14/08:54:12,0.49,1.59,117.78,0.022,35.14,0.0,309
14/08:54:12,0.49,1.56,117.78,0.088,35.14,0.0,310
14/08:54:12,0.49,1.51,117.77,0.088,35.14,0.0,311
14/08:54:13,0.5,1.5,117.76,0.011,35.14,0.0,312
14/08:54:13,0.5,1.5,117.76,0.011,35.14,0.0,313
14/08:54:14,0.49,1.49,117.75,0.0,35.14,0.0,314
14/08:54:14,0.49,1.48,117.75,0.011,35.14,0.0,315
14/08:54:15,0.49,1.48,117.74,0.011,35.14,0.0,316
14/08:54:15,,,,,,,317
14/08:54:16,0.5,1.49,117.74,0.011,35.14,0.0,318
14/08:54:16,0.5,1.49,117.74,0.011,35.14,0.0,319
14/08:54:17,0.5,1.51,117.74,0.0,35.14,0.0,320
14/08:54:17,0.5,1.51,117.74,0.022,35.14,0.0,321
14/08:54:17,0.5,1.5,117.75,0.022,35.14,0.0,322
14/08:54:18,0.5,1.49,117.75,0.022,35.14,0.0,323
14/08:54:19,0.5,1.42,117.75,0.011,35.14,0.0,324
14/08:54:19,0.49,1.37,117.74,0.011,35.14,0.0,325
14/08:54:20,0.5,1.3,117.74,0.099,35.14,0.0,326
